winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
Pago de Carraovejas,El Anejon,2016,0.9999999999999991,0.38201246660730187,Espana,Ribera del Duero,0.43241484052939905,Ribera Del Duero Red,1.0,0.0
Bodegas El Nido,El Nido,2018,0.9999999999999991,0.17097061442564557,Espana,Jumilla,0.8250265981803168,Red,0.5,0.0
La Rioja Alta,Gran Reserva 890,1985,0.9999999999999991,0.0008904719501335728,Espana,Rioja,0.9105662833586461,Rioja Red,0.5,0.0
Pago de Carraovejas,Cuesta de Las Liebres,2014,0.8333333333333339,0.5877114870881568,Espana,Ribera del Duero,0.46725970926448257,Ribera Del Duero Red,1.0,0.0
Pago de Carraovejas,El Anejon,2015,0.8333333333333339,0.46126447016918964,Espana,Ribera del Duero,0.30201779127793443,Ribera Del Duero Red,1.0,0.0
Bodegas El Nido,El Nido,2013,0.8333333333333339,0.4016028495102404,Espana,Jumilla,0.6053373833803427,Red,0.5,0.0
Bodegas El Nido,El Nido,2008,0.8333333333333339,0.28673196794300976,Espana,Jumilla,0.5584291603384681,Red,0.5,0.0
Emilio Moro,Malleolus de Sanchomartin,2016,0.8333333333333339,0.2368655387355298,Espana,Ribera del Duero,0.4818398784985897,Ribera Del Duero Red,1.0,0.0
Bodegas El Nido,El Nido,2017,0.8333333333333339,0.21638468388245768,Espana,Jumilla,0.648079843783901,Red,0.5,0.0
Teso La Monja,Alabaster,2016,0.8333333333333339,0.2128227960819234,Espana,Toro,0.5619440225645476,Toro Red,1.0,0.0
Quinta de la Quietud,La Mula de la Quietud,2015,0.8333333333333339,0.20569902048085484,Espana,Toro,0.25276632675200694,Toro Red,1.0,0.0
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,0.8333333333333339,0.1941228851291184,Espana,Rioja,0.9043176394011716,Rioja Red,0.5,0.0
Remirez de Ganuza,Maria Remirez de Ganuza,2006,0.8333333333333339,0.1914514692787177,Espana,Rioja,0.9954436971143414,Rioja Red,0.5,0.0
Vinedos de Paganos,La Nieta,2018,0.8333333333333339,0.1736420302760463,Espana,Rioja,0.3662399652853114,Rioja Red,0.5,0.0
Pago de Los Capellanes,Parcela El Picon Tinto,2009,0.8333333333333339,0.09706144256455922,Espana,Ribera del Duero,0.6443914081145584,Ribera Del Duero Red,1.0,0.0
