winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity,is_non_vintage
Teso La Monja,Tinto,-0.19065281569594647,3.609531330613775,-0.7825760271087359,Espana,Toro,2.254486195443464,Toro Red,0.9999999999999999,3.0,0
Artadi,Vina El Pison,0.9233577544490453,3.609531330613775,-0.8314661191045207,Espana,Vino de Espana,2.0856467874661564,Tempranillo,0.6666666666666666,3.0,0
Vega Sicilia,Unico,-1.08186127181194,2.895373754079808,1.912130808188346,Espana,Ribera del Duero,2.129431787178434,Ribera Del Duero Red,0.9999999999999999,3.0,0
Vega Sicilia,Unico,-0.8590591577829416,2.895373754079808,1.912130808188346,Espana,Ribera del Duero,2.216596897681719,Ribera Del Duero Red,0.9999999999999999,3.0,0
Vega Sicilia,Unico Reserva Especial Edicion,0.25495141236205027,2.895373754079808,0.899818315099154,Espana,Ribera del Duero,2.202523001244458,Ribera Del Duero Red,0.9999999999999999,3.0,0
Vega Sicilia,Unico,-0.6362570437539432,2.895373754079808,0.8624317741612009,Espana,Ribera del Duero,2.091472724750356,Ribera Del Duero Red,0.9999999999999999,3.0,0
Vega Sicilia,Unico Reserva Especial Edicion,0.4777535263910486,2.895373754079808,0.7502721513473416,Espana,Ribera del Duero,2.254486195443464,Ribera Del Duero Red,0.9999999999999999,3.0,0
Pago de Carraovejas,El Anejon,0.4777535263910486,2.895373754079808,0.35627552761660497,Espana,Ribera del Duero,0.7557712832109422,Ribera Del Duero Red,0.9999999999999999,3.0,0
Vega Sicilia,Unico Reserva Especial Edicion,0.9233577544490453,2.895373754079808,0.31026132338527806,Espana,Ribera del Duero,2.254486195443464,Ribera Del Duero Red,0.9999999999999999,3.0,0
Pago de Carraovejas,Cuesta de Las Liebres,0.25495141236205027,2.895373754079808,0.12045273093105459,Espana,Ribera del Duero,1.3119227099739026,Ribera Del Duero Red,0.9999999999999999,3.0,0
Vega Sicilia,Unico Reserva Especial Edicion,1.1461598684780436,2.895373754079808,-0.23040557633281303,Espana,Ribera del Duero,2.254486195443464,Ribera Del Duero Red,0.9999999999999999,3.0,0
Bodegas El Nido,El Nido,0.9233577544490453,2.895373754079808,-0.3253098725599248,Espana,Jumilla,1.5105711316266008,Red,0.6666666666666666,3.0,0
Vega Sicilia,Unico Reserva Especial Edicion,-2.1958718419569316,2.895373754079808,-0.34256519914667233,Espana,Ribera del Duero,2.254486195443464,Ribera Del Duero Red,0.9999999999999999,3.0,0
Vega Sicilia,Unico Reserva Especial Edicion,-0.19065281569594647,2.895373754079808,-0.45472482196053166,Espana,Ribera del Duero,2.254486195443464,Ribera Del Duero Red,0.9999999999999999,3.0,0
Dominio de Pingus,Pingus,0.4777535263910486,2.895373754079808,-0.5323737916008958,Espana,Ribera del Duero,2.254486195443464,Ribera Del Duero Red,0.9999999999999999,3.0,0
